"ID","LR","bus","cars","oth","rail","NA","total","year","State","Name","Urbanized.Area","share_light","share_rail","share_bus","share_cars","share_oth"
3027,0,1373,0,182.8,0,0,1555.8,2004,NA,NA,NA,0,0,0.882504177914899,0,0.117495822085101
3030,0,146010.3,0,1112.4,250660,0,397782.7,2004,NA,NA,NA,0,0.630143040408746,0.367060457883161,0,0.00279650170809339
3035,0,484.7,0,4.7,0,0,489.4,2004,NA,NA,NA,0,0,0.990396403759706,0,0.00960359624029424
3036,0,1285.6,0,61.6,0,0,1347.2,2004,NA,NA,NA,0,0,0.954275534441805,0,0.0457244655581948
3040,0,1416.5,0,0,0,0,1416.5,2004,NA,NA,NA,0,0,1,0,0
3042,0,291.8,0,9.1,0,0,300.9,2004,NA,NA,NA,0,0,0.969757394483217,0,0.030242605516783
3044,0,276.6,0,4.7,0,0,281.3,2004,NA,NA,NA,0,0,0.983291859225027,0,0.0167081407749733
3048,0,667.6,0,69.4,0,0,737,2004,NA,NA,NA,0,0,0.905834464043419,0,0.0941655359565807
3050,0,40.2,0,115.8,0,0,156,2004,NA,NA,NA,0,0,0.257692307692308,0,0.742307692307692
3051,0,23175.4,0,381.7,0,0,23557.1,2004,NA,NA,NA,0,0,0.983796817095483,0,0.0162031829045171
3054,0,6203.9,0,37.3,0,0,6241.2,2004,NA,NA,NA,0,0,0.994023585207973,0,0.00597641479202717
3055,0,117.8,0,82.4,0,0,200.2,2004,NA,NA,NA,0,0,0.588411588411588,0,0.411588411588412
3058,0,985.5,0,0,0,0,985.5,2004,NA,NA,NA,0,0,1,0,0
3061,0,394.2,0,0.1,0,0,394.3,2004,NA,NA,NA,0,0,0.999746386000507,0,0.000253613999492772
3068,0,7990.8,0,0,0,0,7990.8,2004,NA,NA,NA,0,0,1,0,0
3069,0,197.8,0,14.1,0,0,211.9,2004,NA,NA,NA,0,0,0.933459178857952,0,0.0665408211420481
3070,0,1855.9,0,0,0,0,1855.9,2004,NA,NA,NA,0,0,1,0,0
3071,0,3131.3,0,0,0,0,3131.3,2004,NA,NA,NA,0,0,1,0,0
3072,0,399.2,0,61.5,0,0,460.7,2004,NA,NA,NA,0,0,0.866507488604298,0,0.133492511395702
3074,0,203.7,0,35.4,0,0,239.1,2004,NA,NA,NA,0,0,0.851944792973651,0,0.148055207026349
3075,0,7792.6,0,648.7,0,0,8441.3,2004,NA,NA,NA,0,0,0.923151647258124,0,0.0768483527418762
3076,0,511.7,0,6.3,0,0,518,2004,NA,NA,NA,0,0,0.987837837837838,0,0.0121621621621622
3079,0,277.1,0,0,0,0,277.1,2004,NA,NA,NA,0,0,1,0,0
3080,0,384.7,0,0,0,0,384.7,2004,NA,NA,NA,0,0,1,0,0
3081,0,401.7,0,0,0,0,401.7,2004,NA,NA,NA,0,0,1,0,0
3083,0,19198.7,171.7,600.1,0,0,19970.5,2004,NA,NA,NA,0,0,0.961352995668611,0.00859768158033099,0.0300493227510578
3085,0,2493.2,0,168.6,0,0,2661.8,2004,NA,NA,NA,0,0,0.936659403411226,0,0.0633405965887745
3088,0,388.6,0,19.3,0,0,407.9,2004,NA,NA,NA,0,0,0.952684481490561,0,0.0473155185094386
4001,0,1914.2,0,491.4,0,0,2405.6,2004,NA,NA,NA,0,0,0.795726637845028,0,0.204273362154972
4002,0,3115.5,0,46.5,0,0,3162,2004,NA,NA,NA,0,0,0.985294117647059,0,0.0147058823529412
4004,0,6268.9,0,141.9,0,0,6410.8,2004,NA,NA,NA,0,0,0.97786547700755,0,0.0221345229924502
4005,0,1055.3,0,22.6,0,0,1077.9,2004,NA,NA,NA,0,0,0.979033305501438,0,0.020966694498562
4006,0,1484.8,0,1.9,0,0,1486.7,2004,NA,NA,NA,0,0,0.99872200174884,0,0.00127799825116029
4007,0,3409.9,0,145.5,0,0,3555.4,2004,NA,NA,NA,0,0,0.959076334589638,0,0.0409236654103617
4008,0,18423.5,245.9,206.2,0,0,18875.6,2004,NA,NA,NA,0,0,0.976048443493187,0.0130274004534955,0.0109241560533175
4009,0,1323.9,0,40.5,0,0,1364.4,2004,NA,NA,NA,0,0,0.970316622691293,0,0.0296833773087071
4011,0,561,0,37.6,0,0,598.6,2004,NA,NA,NA,0,0,0.937186769127965,0,0.0628132308720347
4012,0,2742.3,0,119.2,0,0,2861.5,2004,NA,NA,NA,0,0,0.958343526122663,0,0.0416564738773371
4014,0,533.5,0,81.7,0,0,615.2,2004,NA,NA,NA,0,0,0.867197659297789,0,0.132802340702211
4015,0,756.3,0,33.7,0,0,790,2004,NA,NA,NA,0,0,0.957341772151899,0,0.0426582278481013
4017,0,3846.4,0,98.3,0,0,3944.7,2004,NA,NA,NA,0,0,0.975080487743048,0,0.0249195122569524
4018,0,15171.4,0,351.8,0,0,15523.2,2004,NA,NA,NA,0,0,0.977337146980004,0,0.0226628530199959
4019,0,3620.4,0,89.1,0,0,3709.5,2004,NA,NA,NA,0,0,0.975980590376061,0,0.0240194096239385
4021,0,663,0,29.8,0,0,692.8,2004,NA,NA,NA,0,0,0.956986143187067,0,0.043013856812933
4022,0,66762,0,306.5,69088.6,0,136157.1,2004,NA,NA,NA,0,0.507418269043627,0.490330654809775,0,0.0022510761465983
4023,0,893.9,0,14.4,0,0,908.3,2004,NA,NA,NA,0,0,0.984146207200264,0,0.0158537927997358
4024,0,1110.5,0,16,0,0,1126.5,2004,NA,NA,NA,0,0,0.985796715490457,0,0.0142032845095428
4025,0,3438.2,0,407.7,0,0,3845.9,2004,NA,NA,NA,0,0,0.893991003406225,0,0.106008996593775
