"add","day","month","year","pm25_highway","pm25_city"
"Minneapolis-St. Paul, MN",17,3,2003,26.4662652601276,25.6932622568948
"Minneapolis-St. Paul, MN",17,3,2004,12.7728366098906,12.8232769046511
"Minneapolis-St. Paul, MN",17,3,2005,11.83159790541,12.2448397908892
"Minneapolis-St. Paul, MN",17,3,2006,8.04910930834319,8.15390802281243
"Minneapolis-St. Paul, MN",17,3,2007,10.9444939295451,11.0634456021445
"Minneapolis-St. Paul, MN",17,3,2008,15.1750088156315,15.1475398608616
"Minneapolis-St. Paul, MN",17,3,2009,13.3538619509914,13.2926318338939
"Minneapolis-St. Paul, MN",17,3,2010,12.1752022191098,12.2362711088998
"Minneapolis-St. Paul, MN",17,3,2011,12.7359253481815,12.860434120042
"Minneapolis-St. Paul, MN",17,3,2012,13.3696322357445,13.3084903103965
"Minneapolis-St. Paul, MN",17,3,2013,3.30524428894645,3.7207284863506
"Minneapolis-St. Paul, MN",17,3,2014,7.82097667769382,7.95585780995233
"Minneapolis-St. Paul, MN",17,3,2015,5.43029282594982,5.04778602038111
"Minneapolis-St. Paul, MN",17,3,2016,3.41912243449897,3.13843295829637
"Minneapolis-St. Paul, MN",17,4,2000,11.6761258610508,11.8032735177449
"Minneapolis-St. Paul, MN",17,4,2001,5.32410292667255,5.07998992800713
"Minneapolis-St. Paul, MN",17,4,2002,5.54357842813458,5.41988243375506
"Minneapolis-St. Paul, MN",17,4,2003,12.9453075643171,12.413545526777
"Minneapolis-St. Paul, MN",17,4,2004,12.3145014277676,12.0706447056362
"Minneapolis-St. Paul, MN",17,4,2005,17.8934300238626,17.8288071019309
"Minneapolis-St. Paul, MN",17,4,2006,5.95807185507657,6.1654344694955
"Minneapolis-St. Paul, MN",17,4,2007,8.85310729762964,8.80183543988637
"Minneapolis-St. Paul, MN",17,4,2008,13.7128879898473,13.8314680814743
"Minneapolis-St. Paul, MN",17,4,2009,13.777136693921,13.5867225919451
"Minneapolis-St. Paul, MN",17,4,2010,5.19856498534219,5.15661400471415
"Minneapolis-St. Paul, MN",17,4,2011,2.9560690971843,3.07653417331832
"Minneapolis-St. Paul, MN",17,4,2012,6.1597864669666,6.15230521985463
"Minneapolis-St. Paul, MN",17,4,2013,1.05718564307481,0.97665718894984
"Minneapolis-St. Paul, MN",17,4,2014,7.79301896429898,8.39133399043764
"Minneapolis-St. Paul, MN",17,4,2015,11.2244863259165,11.3831118004663
"Minneapolis-St. Paul, MN",17,4,2016,8.37645350422776,8.12670083216258
"Minneapolis-St. Paul, MN",17,5,2000,13.715962259393,14.8642532110214
"Minneapolis-St. Paul, MN",17,5,2001,7.62232731517993,7.74869246993746
"Minneapolis-St. Paul, MN",17,5,2002,2.9718693913075,2.87685347625187
"Minneapolis-St. Paul, MN",17,5,2003,17.0466801492791,16.9021080085209
"Minneapolis-St. Paul, MN",17,5,2004,12.3732485018278,12.313043986048
"Minneapolis-St. Paul, MN",17,5,2005,10.5506930016635,10.5186764376504
"Minneapolis-St. Paul, MN",17,5,2006,5.65304804684823,5.53116971424648
"Minneapolis-St. Paul, MN",17,5,2007,5.37703084109122,5.26216960975102
