"month","year","pm25","add","date"
"05","2004",12.0894294077137,"Myrtle Beach-Socastee, SC-NC",2004-05-01
"05","2004",11.4827991346182,"College Station-Bryan, TX",2004-05-01
"05","2004",11.4739926107224,"Charleston-North Charleston, SC",2004-05-01
"06","2004",11.4941144866224,"Myrtle Beach-Socastee, SC-NC",2004-06-01
"06","2004",12.7660916753295,"College Station-Bryan, TX",2004-06-01
"06","2004",10.2877101862343,"Charleston-North Charleston, SC",2004-06-01
"07","2004",16.0286363466542,"Myrtle Beach-Socastee, SC-NC",2004-07-01
"07","2004",15.9939861119862,"College Station-Bryan, TX",2004-07-01
"07","2004",15.8484773938847,"Charleston-North Charleston, SC",2004-07-01
"08","2004",11.427779718709,"Myrtle Beach-Socastee, SC-NC",2004-08-01
"08","2004",16.3577166035794,"College Station-Bryan, TX",2004-08-01
"08","2004",10.1525673502881,"Charleston-North Charleston, SC",2004-08-01
"09","2004",11.0870552729933,"Myrtle Beach-Socastee, SC-NC",2004-09-01
"09","2004",17.3322584423691,"College Station-Bryan, TX",2004-09-01
"09","2004",10.9585177344866,"Charleston-North Charleston, SC",2004-09-01
"10","2004",13.8500803829467,"Myrtle Beach-Socastee, SC-NC",2004-10-01
"10","2004",10.2306918086849,"College Station-Bryan, TX",2004-10-01
"10","2004",14.3320181422339,"Charleston-North Charleston, SC",2004-10-01
"11","2004",9.76571163505348,"Myrtle Beach-Socastee, SC-NC",2004-11-01
"11","2004",8.89829339640482,"College Station-Bryan, TX",2004-11-01
"11","2004",9.74430538947833,"Charleston-North Charleston, SC",2004-11-01
"12","2004",9.67546312231795,"Myrtle Beach-Socastee, SC-NC",2004-12-01
"12","2004",9.74396402614884,"College Station-Bryan, TX",2004-12-01
"12","2004",10.4341550638401,"Charleston-North Charleston, SC",2004-12-01
"01","2005",11.2943046926713,"Myrtle Beach-Socastee, SC-NC",2005-01-01
"01","2005",10.5054980906473,"College Station-Bryan, TX",2005-01-01
"01","2005",12.2787480334001,"Charleston-North Charleston, SC",2005-01-01
"02","2005",11.5476193559369,"Myrtle Beach-Socastee, SC-NC",2005-02-01
"02","2005",10.279889742263,"College Station-Bryan, TX",2005-02-01
"02","2005",12.4218844266942,"Charleston-North Charleston, SC",2005-02-01
"03","2005",10.4389636612895,"Myrtle Beach-Socastee, SC-NC",2005-03-01
"03","2005",10.2462054353217,"College Station-Bryan, TX",2005-03-01
"03","2005",10.6851222150493,"Charleston-North Charleston, SC",2005-03-01
"04","2005",8.47705493898785,"Myrtle Beach-Socastee, SC-NC",2005-04-01
"04","2005",11.0376645508014,"College Station-Bryan, TX",2005-04-01
"04","2005",8.84013392182997,"Charleston-North Charleston, SC",2005-04-01
"05","2005",12.9073324846823,"Myrtle Beach-Socastee, SC-NC",2005-05-01
"05","2005",14.3799107607242,"College Station-Bryan, TX",2005-05-01
"05","2005",13.6170509921347,"Charleston-North Charleston, SC",2005-05-01
"06","2005",10.7935045713193,"Myrtle Beach-Socastee, SC-NC",2005-06-01
"06","2005",15.2157472210839,"College Station-Bryan, TX",2005-06-01
"06","2005",10.6521946684801,"Charleston-North Charleston, SC",2005-06-01
"07","2005",13.0649334931243,"Myrtle Beach-Socastee, SC-NC",2005-07-01
