State,Name,ID,Org Type,SSW,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,
CA,Butte County Association of Governments(BCAG),9208,MPO,N,MB,PT,26,35,,1086.171,,1207.352,,"1,087.5",,75.3,,69.5,,"1,306.4",,"8,209.1",
,,,,,Total,,47,62,,1086.171,,1641.23,,"1,451.2",,128.2,,113.8,,"1,442.5",,"8,721.9",
CA,California Vanpool Authority(CalVans),9230,City,N,VP,DO,483,539,,0,,8080.765,,"8,080.8",,236.6,,236.6,,"1,690.1",,"65,934.9",
CA,Camarillo Area Transit(CAT),9163,City,Y,DR,PT,6,,,,,,,168.0,,,,13.6,,57.3,,,
CA,Camarillo Area Transit(CAT),9163,City,Y,MB,PT,1,,,,,,,33.6,,,,2.1,,14.3,,,
,,,,,Total,,7,,,,,,,201.7,,,,15.7,,71.6,,,
CA,Central Contra Costa Transit Authority(County Connection),9078,Authority,N,DR,PT,55,63,,0,,1541.314,,"1,246.8",,95.6,,77.7,,152.7,,"1,504.2",
CA,Central Contra Costa Transit Authority(County Connection),9078,Authority,N,MB,DO,82,121,,2328.084,,3075.665,,"2,325.9",,238.1,,208.7,,"3,107.9",,"14,449.8",
,,,,,Total,,137,184,,2328.084,,4616.979,,"3,572.7",,333.8,,286.4,,"3,260.6",,"15,954.0",
CA,Chula Vista Transit(CVT),9193,City,N,MB,PT,32,38,,1032.652,,1141.4,,"1,033.7",,106.1,,100.9,,"3,256.3",,"12,137.7",
CA,City of Arcadia Transit(Arcadia Transit),9044,City,N,DR,PT,18,16,,0,,263.844,,226.3,,25.5,,22.9,,109.6,,395.5,
CA,City of Atascadero(No Acronym),9194,City,Y,DR,PT,3,,,,,,,60.4,,,,4.8,,15.6,,,
CA,City of Atascadero(No Acronym),9194,City,Y,MB,PT,1,,,,,,,69.1,,,,3.5,,42.7,,,
,,,,,Total,,4,,,,,,,129.5,,,,8.3,,58.3,,,
CA,City of Commerce Municipal Buslines(CBL),9043,City,N,DR,DO,4,5,,0,,72.39,,68.6,,5.1,,4.8,,9.1,,62.7,
CA,City of Commerce Municipal Buslines(CBL),9043,City,N,MB,DO,6,9,,241.926,,247.184,,239.3,,19.4,,18.8,,662.9,,"2,418.2",
