State,Name,ID,Org Type,SSW,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,,
SC,Central Midlands Regional Transit Authority(CMRTA),4141,Agency,N,DR,PT,13,21,,0.0 ,,590.9,,538.7,,35.0,,32.2,,72.1,,746.5,,
SC,Central Midlands Regional Transit Authority(CMRTA),4141,Agency,N,MB,PT,28,41,,"1,403.2",,"1,522.0",,"1,412.6",,115.4,,110.9,,"1,781.8",,"8,752.0",,
,,,,,Total,,41,62,,"1,403.2",,"2,112.9",,"1,951.3",,150.5,,143.1,,"1,853.9",,"9,498.5",,
SC,Charleston Area Regional Transportation Authority(CARTA),4110,Agency,N,DR,PT,21,23,,0.0 ,,666.1,,613.5,,43.5,,41.6,,69.3,,715.6,,
SC,Charleston Area Regional Transportation Authority(CARTA),4110,Agency,N,MB,PT,81,91,,"2,906.8",,"2,945.9",,"2,909.7",,208.6,,207.1,,"4,300.7",,"16,342.6",,
,,,,,Total,,102,114,,"2,906.8",,"3,612.1",,"3,523.2",,252.1,,248.6,,"4,370.0",,"17,058.2",,
SC,Greenville Transit Authority(GTA),4053,Agency,N,DR,DO,3,5,,0.0 ,,81.2,,73.1,,6.5,,5.0,,9.4,,73.1,,
SC,Greenville Transit Authority(GTA),4053,Agency,N,MB,DO,11,19,,450.8,,500.8,,450.8,,46.1,,36.1,,497.3,,450.8,,
,,,,,Total,,14,24,,450.8,,582.0,,523.9,,52.6,,41.2,,506.7,,523.9,,
SC,Pee Dee Regional Transportation Authority(PDRTA),4056,Agency,N,DR,DO,81,87,,0.0 ,,"2,248.5",,"2,069.2",,100.3,,92.8,,184.4,,"2,542.6",,
SC,Pee Dee Regional Transportation Authority(PDRTA),4056,Agency,N,MB,DO,19,27,,646.3,,703.2,,647.0,,35.4,,32.7,,179.1,,"3,712.1",,
,,,,,Total,,100,114,,646.3,,"2,951.8",,"2,716.1",,135.6,,125.6,,363.5,,"6,254.7",,
SC,Santee Wateree Regional Transportation Authority(SWRTA),4100,Agency,N,DR,DO,46,47,,0.0 ,,"1,570.1",,"1,170.9",,65.2,,53.4,,155.0,,"2,528.4",,
SC,Santee Wateree Regional Transportation Authority(SWRTA),4100,Agency,N,MB,DO,19,22,,526.5,,600.7,,526.3,,28.6,,25.3,,171.9,,"1,859.0",,
,,,,,Total,,65,69,,526.5,,"2,170.8",,"1,697.2",,93.9,,78.7,,326.9,,"4,387.3",,
SC,Spartanburg County Transportation Services(sctsb),4088,City,N,DR,PT,45,66,,0.0 ,,"2,310.7",,"1,988.7",,133.7,,118.4,,265.7,,"3,697.1",,
SC,Spartanburg Transit System(SPARTA),4101,Agency,Y,MB,DO,11,,,,,,,278.7,,,,22.5,,513.5,,,,
SC,Waccamaw Regional Transportation Authority(The Coast RTA),4102,Agency,N,DR,DO,20,24,,0.0 ,,461.2,,400.4,,22.3,,19.5,,39.7,,418.9,,
SC,Waccamaw Regional Transportation Authority(The Coast RTA),4102,Agency,N,MB,DO,22,30,,"1,016.0",,"1,048.5",,"1,014.0",,67.0,,64.9,,684.2,,"3,325.4",Q,
,,,,,Total,,42,54,,"1,016.0",,"1,509.7",,"1,414.5",,89.4,,84.5,,724.0,,"3,744.4",,
SD,Rapid Transit System,8014,City,Y,DR,DO,12,,,,,,,276.4,,,,27.0,,80.0,,,,
SD,Rapid Transit System,8014,City,Y,MB,DO,7,,,,,,,278.4,,,,18.5,,314.8,,,,
,,,,,Total,,19,,,,,,,554.8,,,,45.5,,394.8,,,,
SD,Su Tran LLC dba: Sioux Area Metro(SAM),8002,Agency,N,DR,DO,20,23,,0.0 ,,656.7,,651.0,,55.9,,55.7,,141.3,,879.0,,
SD,Su Tran LLC dba: Sioux Area Metro(SAM),8002,Agency,N,MB,DO,28,31,,688.6,,733.2,,726.2,,55.4,,55.0,,962.0,,"5,649.0",,
,,,,,Total,,48,54,,688.6,,"1,390.0",,"1,377.2",,111.3,,110.7,,"1,103.4",,"6,528.0",,
TN,Bristol Tennessee Transit System(BTTS),4055,City,Y,DR,DO,3,,,,,,,92.0,,,,8.3,,24.2,,,,
TN,Bristol Tennessee Transit System(BTTS),4055,City,Y,MB,DO,3,,,,,,,104.4,,,,8.1,,57.3,,,,
,,,,,Total,,6,,,,,,,196.4,,,,16.4,,81.5,,,,
TN,Chattanooga Area Regional Transportation Authority(CARTA),4001,City,N,DR,PT,4,6,,0.0 ,,46.1,,32.3,,5.3,,4.1,,20.4,,129.1,,
TN,Chattanooga Area Regional Transportation Authority(CARTA),4001,City,N,DR,DO,15,17,,0.0 ,,503.1,,419.0,,32.4,,29.3,,45.0,,490.2,,
TN,Chattanooga Area Regional Transportation Authority(CARTA),4001,City,N,IP,DO,2,2,,17.8,,17.8,,17.8,,4.5,,4.5,,379.2,,379.2,,
TN,Chattanooga Area Regional Transportation Authority(CARTA),4001,City,N,MB,DO,45,68,,"2,057.4",,"2,119.0",,"2,119.0",,162.6,,162.6,,"2,768.9",,"10,068.8",,
,,,,,Total,,66,93,,"2,075.2",,"2,686.0",,"2,588.1",,204.8,,200.4,,"3,213.5",,"11,067.2",,
TN,City of Murfreesboro(Rover Public Transit),4186,City,Y,DR,PT,15,,,,,,,72.4,,,,45.5,,7.9,,,,
TN,City of Murfreesboro(Rover Public Transit),4186,City,Y,MB,DO,6,,,,,,,292.6,,,,19.5,,218.6,,,,
,,,,,Total,,21,,,,,,,365.0,,,,65.0,,226.5,,,,
TN,Clarksville Transit System(CTS),4092,City,N,DR,DO,8,10,,0.0 ,,344.2,,315.2,,22.7,,21.5,,31.7,,218.6,,
TN,Clarksville Transit System(CTS),4092,City,N,MB,DO,16,22,,"1,076.2",,"1,086.0",,"1,079.6",,67.5,,64.9,,762.2,,"4,232.6",,
,,,,,Total,,24,32,,"1,076.2",,"1,430.2",,"1,394.8",,90.1,,86.4,,794.0,,"4,451.3",,
TN,"East Tennessee Human Resource Agency, Inc.(ETHRA)",4190,Agency,Y,DR,DO,9,,,,,,,292.2,,,,12.0,,17.4,,,,
TN,Franklin Transit Authority(FTA),4162,City,Y,DR,PT,4,,,,,,,116.4,,,,10.2,,16.1,,,,
TN,Franklin Transit Authority(FTA),4162,City,Y,MB,PT,4,,,,,,,80.9,,,,6.9,,23.2,,,,
,,,,,Total,,8,,,,,,,197.3,,,,17.1,,39.3,,,,
TN,Jackson Transit Authority(JTA),4057,Agency,N,DR,DO,4,11,,0.0 ,,196.9,,196.3,,14.4,,14.2,,35.5,,266.4,,
TN,Jackson Transit Authority(JTA),4057,Agency,N,MB,DO,9,16,,582.3,,584.9,,581.6,,43.6,,43.1,,585.7,,"2,903.7",,
,,,,,Total,,13,27,,582.3,,781.8,,778.0,,57.9,,57.3,,621.2,,"3,170.1",,
TN,Johnson City Transit System(JCT),4054,City,Y,DR,DO,11,,,,,,,192.2,,,,20.2,,40.0,,,,
TN,Johnson City Transit System(JCT),4054,City,Y,MB,DO,15,,,,,,,419.4,,,,30.9,,593.9,,,,
,,,,,Total,,26,,,,,,,611.6,,,,51.2,,633.9,,,,
TN,Kingsport Area Transit System(K.A.T.S.),4080,City,Y,DR,DO,4,,,,,,,95.2,,,,12.7,,13.4,,,,
TN,Kingsport Area Transit System(K.A.T.S.),4080,City,Y,MB,DO,5,,,,,,,185.5,,,,16.3,,115.7,,,,
,,,,,Total,,9,,,,,,,280.7,,,,29.1,,129.2,,,,
TN,Knoxville Area Transit(KAT),4002,City,N,DR,DO,21,31,,0.0 ,,574.5,,478.0,,61.3,,52.3,,175.6,,420.6,,
TN,Knoxville Area Transit(KAT),4002,City,N,MB,DO,68,107,,"2,409.5",,"2,628.1",,"2,408.3",,182.0,,171.8,,"3,085.4",,"9,581.1",,
,,,,,Total,,89,138,,"2,409.5",,"3,202.6",,"2,886.3",,243.2,,224.2,,"3,261.0",,"10,001.7",,
TN,Knoxville-Knox County Community Action Committee(Knox County CAC Transit),4171,Agency,N,DR,DO,45,64,,0.0 ,,"1,582.6",,"1,400.4",,77.6,,66.0,,171.9,,"2,367.0",,
TN,Memphis Area Transit Authority(MATA),4003,Agency,N,DR,DO,44,60,,0.0 ,,"2,025.9",,"1,751.0",,116.7,,106.7,,243.5,,"2,797.1",,
TN,Memphis Area Transit Authority(MATA),4003,Agency,N,MB,DO,125,150,,"6,018.4",,"6,732.5",,"6,001.3",,412.5,,386.0,,"9,287.2",,"49,985.9",Q,
TN,Memphis Area Transit Authority(MATA),4003,Agency,N,SR,DO,12,16,,333.6,,262.3,,259.9,,40.8,,40.4,,"1,086.1",,718.5,,
,,,,,Total,,181,226,,"6,352.1",,"9,020.7",,"8,012.1",,570.1,,533.1,,"10,616.9",,"53,501.5",,
TN,Metropolitan Transit Authority(MTA),4004,Agency,N,DR,DO,52,67,,0.0 ,,"2,451.2",,"1,991.1",,147.0,,118.8,,261.7,,"3,186.1",,
TN,Metropolitan Transit Authority(MTA),4004,Agency,N,DT,PT,87,0,,0.0 ,,661.9,,661.9,,13.3,,13.3,,83.4,,661.9,,
TN,Metropolitan Transit Authority(MTA),4004,Agency,N,MB,DO,119,131,,"4,613.7",,"5,283.5",,"4,610.9",,375.7,,348.7,,"8,202.3",,"45,185.0",,
,,,,,Total,,258,198,,"4,613.7",,"8,396.5",,"7,263.9",,535.9,,480.8,,"8,547.4",,"49,033.0",,
TN,Regional Transportation Authority(RTA),4159,Agency,N,CB,PT,7,11,,91.1,,180.7,,91.1,,6.2,,3.5,,83.1,,"2,017.8",,
TN,Regional Transportation Authority(RTA),4159,Agency,N,CR,PT,7,15,,205.2,,210.6,,205.2,,8.5,,6.9,,250.7,,"3,953.3",,
TN,Regional Transportation Authority(RTA),4159,Agency,N,VP,DO,52,55,,0.0 ,,870.1,,870.1,,17.4,,17.4,,166.4,,"6,073.5",,
,,,,,Total,,66,81,,296.3,,"1,261.5",,"1,166.4",,32.0,,23.9,,500.1,,"12,044.6",,
TN,Southeast Tennessee Human Resource Agency -Cleveland Urban Area Transit System Division(CUATs Div),4170,Other Public,Y,DR,DO,9,,,,,,,146.2,,,,14.2,,24.0,,,,
TN,Southeast Tennessee Human Resource Agency -Cleveland Urban Area Transit System Division(CUATs Div),4170,Other Public,Y,MB,DO,7,,,,,,,194.3,,,,19.3,,68.2,,,,
,,,,,Total,,16,,,,,,,340.4,,,,33.5,,92.2,,,,
TN,The Transportation Management Association Group(TMA),4178,For-Profit,N,VP,DO,20,22,,0.0 ,,358.7,,358.7,,7.8,,7.8,,58.6,,"2,412.0",,
TX,Amarillo City Transit(ACT),6001,City,N,DR,DO,7,25,,0.0 ,,286.6,,260.0,,23.9,,22.2,,35.4,,293.6,,
TX,Amarillo City Transit(ACT),6001,City,N,MB,DO,12,23,,703.0,,713.9,,694.5,,41.7,,40.6,,367.5,,"1,403.5",,
,,,,,Total,,19,48,,703.0,,"1,000.6",,954.6,,65.6,,62.8,,402.9,,"1,697.0",,
TX,Beaumont Municipal Transit System(BMT),6016,Other Public,N,DR,DO,6,8,,0.0 ,,207.4,,91.4,,16.6,,8.4,,22.7,,90.8,,
TX,Beaumont Municipal Transit System(BMT),6016,Other Public,N,MB,DO,12,18,,722.9,,729.3,,722.2,,52.8,,52.2,,563.1,,"2,096.0",,
,,,,,Total,,18,26,,722.9,,936.7,,813.6,,69.4,,60.6,,585.8,,"2,186.8",,
TX,Brazos Transit District(The District),6059,Agency,N,DR,DO,48,51,,0.0 ,,"1,566.3",,"1,235.9",,70.9,,58.8,,83.7,,"1,611.0",,
TX,Brazos Transit District(The District),6059,Agency,N,MB,PT,32,33,,709.8,,707.0,,707.0,,29.5,,29.5,,711.8,,"23,266.6",,
TX,Brazos Transit District(The District),6059,Agency,N,MB,DO,22,38,,"1,141.5",,"1,154.6",,"1,123.9",,68.6,,67.3,,580.5,,"3,744.5",,
,,,,,Total,,102,122,,"1,851.3",,"3,427.9",,"3,066.9",,168.9,,155.5,,"1,376.1",,"28,622.1",,
TX,Capital Metropolitan Transportation Authority(CMTA),6048,Agency,N,DR,DO,87,118,,0.0 ,,"3,519.4",,"3,005.4",,279.0,,241.3,,464.9,,"3,317.3",,
TX,Capital Metropolitan Transportation Authority(CMTA),6048,Agency,N,DR,PT,36,47,,0.0 ,,422.9,,364.6,,36.8,,30.8,,55.7,,400.6,,
TX,Capital Metropolitan Transportation Authority(CMTA),6048,Agency,N,DT,PT,227,227,,0.0 ,,775.9,,775.9,,36.3,,36.3,,126.4,,895.1,,
TX,Capital Metropolitan Transportation Authority(CMTA),6048,Agency,N,MB,DO,198,262,,"8,583.9",,"9,997.4",,"8,579.6",,755.0,,693.3,,"21,012.1",,"99,697.9",,
TX,Capital Metropolitan Transportation Authority(CMTA),6048,Agency,N,MB,PT,142,183,,"5,514.3",,"6,140.0",,"5,508.5",,425.2,,398.0,,"12,474.9",,"34,902.3",,
TX,Capital Metropolitan Transportation Authority(CMTA),6048,Agency,N,VP,DO,101,157,,0.0 ,,"1,150.1",,"1,150.1",,42.1,,42.1,,228.6,,"5,353.5",,
TX,Capital Metropolitan Transportation Authority(CMTA),6048,Agency,N,YR,PT,4,6,,224.7,,227.6,,176.2,,10.8,,7.6,,377.7,,"6,424.7",,
,,,,,Total,,795,1000,,"14,322.8",,"22,233.1",,"19,560.3",,"1,585.2",,"1,449.4",,"34,740.3",,"150,991.5",,
TX,"City Transit Management Company, Inc.(Citibus)",6010,City,N,DR,DO,29,32,,0.0 ,,680.7,,632.1,,46.4,,40.4,,97.6,,711.1,,
TX,"City Transit Management Company, Inc.(Citibus)",6010,City,N,MB,DO,58,75,,"1,701.7",,"1,703.8",,"1,697.7",,131.1,,130.5,,"3,737.4",,"9,676.9",,
,,,,,Total,,87,107,,"1,701.7",,"2,384.5",,"2,329.8",,177.5,,170.9,,"3,835.0",,"10,388.0",,
TX,City of Brownsville - Brownsville Metro(BUS),6014,City,N,DR,DO,8,11,,0.0 ,,201.2,,188.1,,17.6,,16.0,,36.7,,210.6,,
TX,City of Brownsville - Brownsville Metro(BUS),6014,City,N,MB,DO,19,25,,843.6,,890.6,,824.0,,72.6,,69.4,,"1,647.3",,"9,883.4",,
,,,,,Total,,27,36,,843.6,,"1,091.8",,"1,012.1",,90.1,,85.5,,"1,684.0",,"10,094.0",,
TX,City of Cleburne(City/County Trans.),6113,City,Y,CB,DO,2,,,,,,,52.7,,,,1.9,,4.8,,,,
TX,City of Cleburne(City/County Trans.),6113,City,Y,DR,DO,12,,,,,,,256.5,,,,18.9,,31.7,,,,
,,,,,Total,,14,,,,,,,309.2,,,,20.8,,36.6,,,,
TX,City of Grand Prairie Transportation Services Department(Grand Connection),6068,City,N,DR,DO,8,12,,0.0 ,,153.8,,133.0,,16.7,,13.2,,42.6,,309.6,,
TX,City of McAllen - McAllen Express Transit(Metro McAllen),6099,City,Y,DR,DO,1,,,,,,,46.2,,,,3.0,,8.8,,,,
TX,City of McAllen - McAllen Express Transit(Metro McAllen),6099,City,Y,MB,DO,7,,,,,,,383.6,,,,27.0,,476.9,,,,
,,,,,Total,,8,,,,,,,429.8,,,,30.0,,485.7,,,,
TX,City of Mesquite(MTED),6070,City,Y,DR,DO,11,,,,,,,180.3,,,,18.5,,32.7,,,,
TX,City of Tyler(COT),6089,City,Y,DT,PT,16,,,,,,,179.2,,,,11.3,,29.6,,,,
TX,City of Tyler(COT),6089,City,Y,MB,DO,5,,,,,,,307.3,,,,18.7,,266.4,,,,
,,,,,Total,,21,,,,,,,486.5,,,,30.0,,296.0,,,,
TX,CityLink Transit(CityLink),6040,City,Y,DR,DO,17,,,,,,,653.9,,,,45.0,,113.6,,,,
TX,CityLink Transit(CityLink),6040,City,Y,MB,DO,12,,,,,,,414.3,,,,29.7,,415.4,,,,
,,,,,Total,,29,,,,,,,"1,068.2",,,,74.7,,529.0,,,,
TX,Collin County Committee on Aging(CCART),6110,Non-Profit,N,DR,DO,20,27,,0.0 ,,483.8,,366.3,,43.2,,38.9,,33.5,,291.1,Q,
TX,Collin County Committee on Aging(CCART),6110,Non-Profit,N,MB,DO,2,4,,70.8,,70.8,,70.8,,6.5,,6.5,,28.0,,199.7,Q,
,,,,,Total,,22,31,,70.8,,554.6,,437.2,,49.7,,45.4,,61.5,,490.8,,
TX,Concho Valley Transit District(CVTD),6102,Agency,N,DR,DO,46,59,,0.0 ,,838.2,,717.0,,61.3,,49.0,,151.0,,"1,298.7",,
TX,Concho Valley Transit District(CVTD),6102,Agency,N,MB,DO,5,13,,360.8,,382.4,,360.1,,25.2,,23.6,,231.2,,"1,664.6",,
,,,,,Total,,51,72,,360.8,,"1,220.5",,"1,077.1",,86.5,,72.7,,382.2,,"2,963.3",,
TX,Corpus Christi Regional Transportation Authority(The B),6051,Agency,N,DR,PT,25,34,,0.0 ,,"1,506.9",,"1,254.6",,72.0,,65.3,,194.0,,"1,472.6",,
TX,Corpus Christi Regional Transportation Authority(The B),6051,Agency,N,DR,DO,1,2,,0.0 ,,49.4,,48.7,,2.7,,2.7,,5.3,,169.5,,
TX,Corpus Christi Regional Transportation Authority(The B),6051,Agency,N,FB,PT,1,1,,2.2,,2.2,,2.2,,0.9,,0.9,,53.0,,63.5,,
TX,Corpus Christi Regional Transportation Authority(The B),6051,Agency,N,MB,PT,11,14,,612.0,,750.3,,611.0,,33.5,,29.2,,657.6,,"6,358.9",,
TX,Corpus Christi Regional Transportation Authority(The B),6051,Agency,N,MB,DO,45,62,,"2,292.4",,"2,506.7",,"2,286.2",,193.5,,184.6,,"5,091.7",,"17,108.2",,
,,,,,Total,,83,113,,"2,906.6",,"4,815.4",,"4,202.7",,302.6,,282.6,,"6,001.6",,"25,172.7",,
TX,"Dallas - VPSI, Inc.",6084,Contractor,N,VP,DO,197,198,,0.0 ,,"3,626.7",,"3,626.7",,82.4,,82.4,,601.6,,"16,889.2",,
TX,Dallas Area Rapid Transit(DART),6056,Agency,N,CR,PT,23,47,,"1,119.7",,"1,347.7",,"1,142.6",,54.1,,47.4,,"2,388.4",,"44,337.4",,
TX,Dallas Area Rapid Transit(DART),6056,Agency,N,DR,PT,190,209,,0.0 ,,"11,687.3",,"8,638.5",,656.8,,521.6,,"1,140.2",,"14,384.7",,
TX,Dallas Area Rapid Transit(DART),6056,Agency,N,LR,DO,80,163,,"6,922.7",,"6,957.9",,"6,897.9",,357.2,,348.5,,"22,302.4",,"180,993.7",,
TX,Dallas Area Rapid Transit(DART),6056,Agency,N,MB,DO,514,658,,"25,799.8",,"29,569.0",,"25,727.6",,"2,111.8",,"1,954.0",,"36,971.4",,"159,193.3",,
TX,Dallas Area Rapid Transit(DART),6056,Agency,N,VP,DO,200,200,,0.0 ,,"3,816.6",,"3,816.6",,95.4,,95.4,,985.0,,"39,072.1",,
,,,,,Total,,"1,007",1277,,"33,842.1",,"53,378.6",,"46,223.2",,"3,275.2",,"2,775.4",,"63,787.4",,"437,981.2",,
TX,Denton County Transportation Authority(DCTA),6101,Agency,N,CR,PT,8,11,,137.7,,158.8,,139.1,,6.6,,5.7,,121.1,,"1,851.0",,
TX,Denton County Transportation Authority(DCTA),6101,Agency,N,DR,DO,12,17,,0.0 ,,302.0,,234.3,,21.7,,18.2,,34.9,,234.3,,
TX,Denton County Transportation Authority(DCTA),6101,Agency,N,MB,DO,45,57,,"1,345.2",,"1,523.4",,"1,343.4",,103.5,,96.8,,"2,393.0",,"10,664.0",,
,,,,,Total,,65,85,,"1,483.0",,"1,984.2",,"1,716.9",,131.8,,117.9,,"2,549.0",,"12,749.4",,
TX,Fort Bend County Public Transportation(Fort Bend Transit),6103,City,N,CB,PT,15,16,,539.8,,830.0,,537.6,,29.7,,20.8,,142.8,,"2,485.9",,
TX,Fort Bend County Public Transportation(Fort Bend Transit),6103,City,N,DR,PT,19,28,,0.0 ,,"1,077.0",,936.8,,50.8,,46.5,,101.6,,"1,104.7",,
TX,Fort Bend County Public Transportation(Fort Bend Transit),6103,City,N,MB,PT,3,3,,78.5,,97.0,,78.1,,6.2,,5.5,,3.0,,32.7,,
,,,,,Total,,37,47,,618.3,,"2,004.0",,"1,552.4",,86.7,,72.8,,247.3,,"3,623.3",,
TX,Fort Worth Transportation Authority(The T),6007,Agency,N,DR,PT,43,65,,0.0 ,,"2,042.1",,"1,822.8",,125.7,,112.9,,241.4,,"2,305.0",,
TX,Fort Worth Transportation Authority(The T),6007,Agency,N,DR,DO,25,40,,0.0 ,,"1,510.1",,"1,271.3",,88.8,,78.7,,154.5,,"1,618.9",,
TX,Fort Worth Transportation Authority(The T),6007,Agency,N,MB,DO,125,148,,"4,000.7",,"4,556.8",,"4,051.6",,363.5,,336.6,,"6,564.4",,"37,653.9",,
TX,Fort Worth Transportation Authority(The T),6007,Agency,N,MB,PT,4,4,,49.9,,85.0,,49.9,,6.2,,4.4,,73.2,,335.2,,
,,,,,Total,,197,257,,"4,050.6",,"8,194.0",,"7,195.6",,584.2,,532.7,,"7,033.6",,"41,912.9",,
TX,Golden Crescent Regional Planning Commission(VICTORIA TRANSIT),6095,MPO,N,DR,DO,62,74,,0.0 ,,"1,624.6",,"1,499.8",,82.2,,74.3,,209.2,,"1,786.6",,
TX,Golden Crescent Regional Planning Commission(VICTORIA TRANSIT),6095,MPO,N,MB,DO,6,15,,420.0,,445.6,,420.4,,27.5,,26.1,,252.0,,411.9,,
,,,,,Total,,68,89,,420.0,,"2,070.2",,"1,920.2",,109.7,,100.4,,461.2,,"2,198.6",,
TX,Handitran Special Transit Division - City of Arlington(Handitran),6041,City,N,DR,DO,13,20,,0.0 ,,311.3,,295.4,,24.6,,21.4,,52.5,,364.1,,
TX,Handitran Special Transit Division - City of Arlington(Handitran),6041,City,N,DT,PT,11,11,,0.0 ,,340.3,,340.3,,20.0,,20.0,,53.7,,463.4,,
,,,,,Total,,24,31,,0.0 ,,651.7,,635.7,,44.6,,41.4,,106.2,,827.5,,
TX,"Harris County Community Services Department, Office of Transit Services(Harris County Transit)",6108,City,Y,DT,PT,5,,,,,,,440.7,,,,28.7,,76.4,,,,
TX,"Harris County Community Services Department, Office of Transit Services(Harris County Transit)",6108,City,Y,MB,PT,3,,,,,,,101.0,,,,8.3,,46.3,,,,
,,,,,Total,,8,,,,,,,541.7,,,,37.0,,122.7,,,,
TX,Hill Country Transit District(The Hop),6091,Agency,N,DR,DO,112,134,,0.0 ,,"2,406.7",,"2,053.2",,139.4,,122.0,,303.6,,"3,326.3",,
TX,Hill Country Transit District(The Hop),6091,Agency,N,MB,DO,13,27,,613.6,,644.9,,613.6,,43.7,,42.3,,523.3,,"2,614.1",,
,,,,,Total,,125,161,,613.6,,"3,051.6",,"2,666.8",,183.2,,164.3,,826.9,,"5,940.4",,
TX,Island Transit(I T),6015,City,N,CB,DO,4,14,,95.7,,96.8,,95.7,,4.0,,3.9,,36.8,,152.1,,
TX,Island Transit(I T),6015,City,N,DR,DO,4,6,,0.0 ,,77.7,,75.2,,7.5,,7.4,,22.6,,86.6,,
TX,Island Transit(I T),6015,City,N,MB,DO,8,14,,436.1,,447.4,,436.1,,39.7,,38.8,,625.4,,"2,580.3",,
,,,,,Total,,16,34,,531.7,,621.9,,606.9,,51.1,,50.1,,684.8,,"2,819.1",,
TX,"Laredo Transit Management, Inc.(El Metro)",6009,City,N,DR,DO,14,18,,0.0 ,,306.4,,264.3,,33.8,,29.4,,56.0,,288.9,,
TX,"Laredo Transit Management, Inc.(El Metro)",6009,City,N,MB,DO,35,49,,"1,734.6",,"1,783.8",,"1,721.5",,153.5,,150.9,,"3,149.6",,"10,012.3",,
,,,,,Total,,49,67,,"1,734.6",,"2,090.2",,"1,985.8",,187.4,,180.3,,"3,205.6",,"10,301.2",,
TX,Longview Transit(LTMI),6081,City,Y,DR,DO,5,,,,,,,49.2,,,,4.1,,6.9,,,,
TX,Longview Transit(LTMI),6081,City,Y,MB,DO,8,,,,,,,284.1,,,,17.8,,178.7,,,,
,,,,,Total,,13,,,,,,,333.3,,,,21.9,,185.6,,,,
TX,Lower Rio Grande Valley Development Council(LRGVDC),6090,MPO,Y,CB,DO,2,,,,,,,72.0,,,,3.5,,16.3,,,,
TX,Lower Rio Grande Valley Development Council(LRGVDC),6090,MPO,Y,DR,DO,6,,,,,,,61.2,,,,3.3,,8.3,,,,
TX,Lower Rio Grande Valley Development Council(LRGVDC),6090,MPO,Y,MB,DO,12,,,,,,,547.1,,,,28.6,,103.3,,,,
,,,,,Total,,20,,,,,,,680.2,,,,35.4,,127.9,,,,
TX,Mass Transit Department - City of El Paso(Sun Metro),6006,City,N,DR,DO,43,65,,0.0 ,,"2,184.0",,"1,850.4",,128.8,,111.1,,218.2,,"2,051.7",,
TX,Mass Transit Department - City of El Paso(Sun Metro),6006,City,N,DT,PT,20,20,,0.0 ,,99.2,,99.2,,4.1,,4.1,,9.1,,99.6,,
TX,Mass Transit Department - City of El Paso(Sun Metro),6006,City,N,MB,DO,122,166,,"7,105.4",,"7,568.1",,"7,098.5",,587.3,,559.9,,"16,015.0",,"77,066.4",,
,,,,,Total,,185,251,,"7,105.4",,"9,851.3",,"9,048.0",,720.2,,675.1,,"16,242.3",,"79,217.7",,
TX,"Metropolitan Transit Authority of Harris County, Texas (Metro)",6008,Agency,N,DR,PT,280,315,,0.0 ,,"17,481.9",,"14,818.9",,948.4,,859.2,,"1,471.6",,"17,584.1",,
TX,"Metropolitan Transit Authority of Harris County, Texas (Metro)",6008,Agency,N,DT,PT,173,173,,0.0 ,,780.3,,780.3,,30.2,,30.2,,182.3,,943.1,,
TX,"Metropolitan Transit Authority of Harris County, Texas (Metro)",6008,Agency,N,LR,DO,17,18,,914.1,,909.5,,901.2,,75.4,,74.2,,"10,618.1",,"24,703.6",,
TX,"Metropolitan Transit Authority of Harris County, Texas (Metro)",6008,Agency,N,MB,PT,187,212,,"8,785.7",,"10,820.1",,"8,777.2",,654.1,,580.6,,"12,995.5",,"85,711.1",,
TX,"Metropolitan Transit Authority of Harris County, Texas (Metro)",6008,Agency,N,MB,DO,854,1023,,"32,756.5",,"38,515.6",,"32,625.9",,"2,502.9",,"2,268.4",,"53,406.2",,"340,841.6",,
TX,"Metropolitan Transit Authority of Harris County, Texas (Metro)",6008,Agency,N,VP,PT,696,741,,0.0 ,,"9,845.8",,"9,845.8",,298.1,,298.1,,"2,411.5",,"67,561.4",,
,,,,,Total,,"2,207",2482,,"42,456.2",,"78,353.3",,"67,749.3",,"4,509.1",,"4,099.9",,"81,085.2",,"537,344.8",,
TX,Midland-Odessa Urban Transit District(EZ RIDER),6097,Agency,N,DR,DO,6,8,,0.0 ,,194.0,Q,151.8,Q,18.0,Q,15.6,Q,27.6,,137.8,,
TX,Midland-Odessa Urban Transit District(EZ RIDER),6097,Agency,N,MB,DO,12,19,,729.6,,729.6,,647.8,,45.1,,41.9,,476.7,,"1,430.1",,
,,,,,Total,,18,27,,729.6,,923.6,,799.5,,63.1,,57.5,,504.2,,"1,567.8",,
TX,Port Arthur Transit(PAT),6013,City,Y,DR,DO,5,,,,,,,122.2,,,,10.6,,21.5,,,,
TX,Port Arthur Transit(PAT),6013,City,Y,MB,DO,5,,,,,,,243.9,,,,14.4,,116.4,,,,
,,,,,Total,,10,,,,,,,366.0,,,,24.9,,137.9,,,,
TX,Public Transit Services(PTS),6115,City,Y,DR,DO,25,,,,,,,801.1,,,,41.4,,69.9,,,,
TX,Public Transit Services(PTS),6115,City,Y,DR,PT,4,,,,,,,81.6,,,,2.4,,8.4,,,,
,,,,,Total,,29,,,,,,,882.7,,,,43.8,,78.3,,,,
TX,STAR Transit(STAR),6114,City,N,DR,DO,39,39,,0.0 ,,"1,359.2",,"1,204.3",,58.9,,49.3,,153.1,,"1,637.0",,
