State,Name,ID,Org Type,Mode,TOS,VOMS,Vehicles Available for Maximum Service,, Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Unlinked Passenger Trips,,Passenger Miles Traveled,,
CA,Eastern Contra Costa Transit Authority (Tri Delta Transit),9162,B,DR,PT,19,24.0,,0.0,,690.4,,577.1,,49.8,,41.7,,106.8,,711.6,,
CA,Eastern Contra Costa Transit Authority (Tri Delta Transit),9162,B,MB,PT,57,69.0,,"2,471.6",,"2,859.9",,"2,460.6",,187.5,,160.9,,"2,500.9",,"16,881.3",,
,,,,Total,,76,93.0,,"2,471.6",,"3,550.3",,"3,037.7",,237.4,,202.7,,"2,607.8",,"17,592.9",,
CA,Foothill Transit,9146,B,MB,PT,256,314.0,,"12,250.0",,"15,839.9",Q,"11,834.0",,884.3,,741.0,,"14,392.1",,"98,436.2",,
CA,Fresno Area Express (FAX),9027,B,DR,PT,35,47.0,,0.0,,"1,233.4",,963.8,,119.6,,89.7,,146.7,,915.6,,
CA,Fresno Area Express (FAX),9027,B,MB,DO,92,126.0,,"4,449.7",,"4,742.1",,"4,335.0",,388.0,,366.4,,"12,080.3",,"55,732.1",,
,,,,Total,,127,173.0,,"4,449.7",,"5,975.6",,"5,298.8",,507.6,,456.0,,"12,227.0",,"56,647.7",,
CA,Gold Coast Transit (GCT),9035,B,DR,PT,19,23.0,,0.0,,637.0,,528.2,,44.1,,34.9,,76.1,,547.6,,
CA,Gold Coast Transit (GCT),9035,B,MB,DO,39,49.0,,"1,538.6",,"1,645.0",,"1,534.6",,143.6,,136.8,,"3,439.0",,"8,524.5",,
,,,,Total,,58,72.0,,"1,538.6",,"2,282.0",,"2,062.9",,187.8,,171.8,,"3,515.0",,"9,072.0",,
CA,Golden Empire Transit District (GET),9004,A,DR,DO,12,14.0,,0.0,,495.0,,454.9,,29.3,,27.7,,64.1,,530.7,,
CA,Golden Empire Transit District (GET),9004,A,MB,DO,67,80.0,,"3,440.2",,"3,661.2",,"3,432.0",,285.1,,276.1,,"6,336.8",,"26,876.8",,
,,,,Total,,79,94.0,,"3,440.2",,"4,156.3",,"3,886.9",,314.3,,303.8,,"6,400.9",,"27,407.5",,
CA,"Golden Gate Bridge, Highway and Transportation District (GGBHTD)",9016,B,DR,PT,40,47.0,,0.0,,"1,111.7",,954.2,,65.6,,55.1,,105.4,,"1,113.4",,
CA,"Golden Gate Bridge, Highway and Transportation District (GGBHTD)",9016,B,FB,DO,5,5.0,,186.7,,195.9,,186.6,,14.3,,13.6,,"2,024.9",,"22,271.9",,
CA,"Golden Gate Bridge, Highway and Transportation District (GGBHTD)",9016,B,MB,PT,6,6.0,,87.1,,185.3,,87.1,,7.0,,4.8,,57.9,,"1,201.8",,
CA,"Golden Gate Bridge, Highway and Transportation District (GGBHTD)",9016,B,MB,DO,159,195.0,,"5,114.4",,"5,934.5",,"5,110.3",,369.1,,331.9,,"7,213.4",,"66,062.1",,
,,,,Total,,210,253.0,,"5,388.2",,"7,427.3",,"6,338.2",,456.0,,405.4,,"9,401.7",,"90,649.3",,
CA,Imperial Valley Transit (IVT),9212,B,DR,PT,5,6.0,,0.0,,215.5,,166.7,,18.0,,14.3,,34.6,,0.0,W,
CA,Imperial Valley Transit (IVT),9212,B,MB,PT,14,15.0,,646.6,,716.4,,646.6,,92.6,,76.6,,382.9,,0.0,W,
,,,,Total,,19,21.0,,646.6,,931.9,,813.3,,110.6,,90.9,,417.5,,0.0,W,
CA,Kings County Area Public Transit Agency (KART),9200,B,DR,PT,8,12.0,,0.0,,168.2,,140.4,,16.0,,14.0,,40.8,,146.9,,
CA,Kings County Area Public Transit Agency (KART),9200,B,MB,PT,16,22.0,,469.9,,696.8,,613.7,,43.9,,40.2,,751.7,,"2,465.6",,
CA,Kings County Area Public Transit Agency (KART),9200,B,VP,DO,164,174.0,,0.0,,"3,916.1",,"3,916.1",,75.0,,75.0,,0.0,W,0.0,W,
,,,,Total,,188,208.0,,469.9,,"4,781.1",,"4,670.2",,134.9,,129.2,,792.5,Q,"2,612.5",Q,
CA,LACMTA - Small Operators (LACMTA),9166,B,DR,PT,219,259.0,,0.0,,"4,037.8",,"3,531.1",,353.5,,305.8,,"1,151.1",,"4,294.2",,
CA,LACMTA - Small Operators (LACMTA),9166,B,MB,PT,186,222.0,,"5,638.2",,"5,979.2",,"5,426.0",,527.2,,487.4,,"10,179.0",,"23,490.4",,
,,,,Total,,405,481.0,,"5,638.2",,"10,017.1",,"8,957.2",,880.7,,793.2,,"11,330.1",,"27,784.6",,
CA,Laguna Beach Municipal Transit (CLB),9119,A,MB,DO,17,17.0,,184.3,,186.9,,184.4,,20.1,,19.5,,462.7,,792.8,,
CA,Livermore / Amador Valley Transit Authority (LAVTA),9144,B,DR,PT,17,27.0,,0.0,,460.5,,371.6,Q,36.6,,30.6,,69.0,,502.2,,
CA,Livermore / Amador Valley Transit Authority (LAVTA),9144,B,MB,PT,45,62.0,,"1,756.3",,"1,982.2",,"1,756.3",,131.9,,121.7,,"2,136.0",,"9,989.1",,
,,,,Total,,62,89.0,,"1,756.3",,"2,442.7",,"2,127.9",,168.5,,152.2,,"2,205.0",,"10,491.4",,
CA,Long Beach Transit (LBT),9023,B,DR,PT,18,21.0,,0.0,,273.6,,273.6,,11.9,,11.9,,59.1,,306.9,,
