State,Name, Org,Mode,Vehicles Operated in Maximum Service,,Vehicles Available for Maximum Service,,Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Actual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Annual Unlinked Passenger Trips,,Annual Passenger Miles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Culver City Municipal Bus,9039-A,MB,27,,43,,"1,181.7 ",,"1,267.0 ",,"1,179.6 ",,114.5 ,,111.3 ,,"5,149.2 ",,"16,079.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,DAVE Transp Svcs-LA,9158-D,DR,167,,201,,0.0 ,,"5,292.5 ",,"3,896.2 ",,389.2 ,,329.9 ,,613.3 ,,"4,293.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,54,,59,,"1,382.3 ",,"2,029.2 ",,"1,382.3 ",,121.6 ,,90.3 ,,"1,162.4 ",,"6,022.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,221,,260,,"1,382.3 ",,"7,321.7 ",,"5,278.5 ",,510.8 ,,420.3 ,,"1,775.7 ",,"10,316.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Eastern Contra Costa TA,9162-B,DRp,13,,16,,0.0 ,,585.9 ,,558.1 ,,36.8 ,,35.6 ,,98.4 ,,607.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,38,,40,,"1,714.1 ",,"1,856.1 ",,"1,704.2 ",,135.3 ,,123.0 ,,"2,063.7 ",,"12,448.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,51,,56,,"1,714.1 ",,"2,442.0 ",,"2,262.4 ",,172.1 ,,158.6 ,,"2,162.2 ",,"13,055.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Fairfield/Suisun Transit,9092-B,DRp,3,,5,,0.0 ,,99.0 ,,91.9 ,,7.8 ,,6.9 ,,18.4 ,,113.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,18,,26,,776.7 ,,819.2 ,,776.7 ,,48.1 ,,45.5 ,,910.8 ,,"3,551.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,21,,31,,776.7 ,,918.2 ,,868.6 ,,55.9 ,,52.5 ,,929.1 ,,"3,664.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Foothill Transit,9146-B,MBp,0,,0,,0.0 ,,0.0 ,,0.0 ,,0.0 ,,0.0 ,,0.0 ,,0.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Fresno Area Express,9027-B,DRp,21,,23,,0.0 ,,773.9 ,,672.0 ,,51.5 ,,44.8 ,,95.6 ,,730.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,84,,108,,"3,971.4 ",,"4,262.4 ",,"3,966.3 ",,327.7 ,,295.3 ,,"12,419.4 ",,"42,308.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,105,,131,,"3,971.4 ",,"5,036.3 ",,"4,638.3 ",,379.2 ,,340.1 ,,"12,515.0 ",,"43,038.9 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,Golden Empire Transit Dst,9004-B,DRp,16,,17,,0.0 ,,436.5 ,,397.2 ,,33.2 ,,30.7 ,,74.3 ,,468.6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,60,,75,,"3,010.1 ",,"3,204.6 ",,"2,994.1 ",,223.5 ,,215.7 ,,"6,238.3 ",,"26,824.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,76,,92,,"3,010.1 ",,"3,641.1 ",,"3,391.4 ",,256.7 ,,246.4 ,,"6,312.5 ",,"27,293.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,GoldenGateBridge-Hwy&TD,9016-B,DRp,26,,43,,0.0 ,,934.2 ,,801.6 ,,53.8 ,,44.4 ,,73.0 ,,592.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FB,5,,5,,182.9 ,,190.7 ,,181.6 ,,15.7 ,,15.1 ,,"1,857.4 ",,"21,220.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MB,228,,274,,"7,714.7 ",,"9,218.2 ",,"7,693.0 ",,460.2 ,,407.7 ,,"9,530.4 ",,"125,896.8 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MBp,10,,10,,222.8 ,,302.6 ,,206.4 ,,12.5 ,,8.2 ,,136.6 ,,"5,600.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
