State,Name,ID,Org Type,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Service Supplied (in Thousands),,,,,,,,,,Unlinked Passenger Trips,,,,
CA,City of Commerce Municipal Buslines(CBL),9043,A,MB,DO,6,9.0,,254.5,,257.1,,254.3,,19.5,,18.1,,651.2,,"2,508.5",,
,,,,Total,,11,15.0,,254.5,,322.7,,315.4,,24.3,,22.2,,658.9,,"2,548.3",,
CA,City of Corona(CCTS),9052,B,DR,PT,9,9.0,,0.0,,216.6,,205.4,,16.5,,15.5,,64.0,,322.1,Q,
CA,City of Corona(CCTS),9052,B,MB,PT,5,5.0,,227.0,,230.4,,218.1,,19.2,,18.0,,163.2,,642.0,Q,
,,,,Total,,14,14.0,,227.0,,447.0,,423.5,,35.7,,33.5,,227.1,,964.1,,
CA,City of Elk Grove(etran),9205,B,DR,PT,9,11.0,,0.0,,315.4,,210.3,,24.1,,16.0,,27.0,,211.8,,
CA,City of Elk Grove(etran),9205,B,MB,PT,43,54.0,,"1,078.6",,"1,912.6",,"1,078.7",,90.5,,65.8,,"1,196.7",,"7,387.5",,
,,,,Total,,52,65.0,,"1,078.6",,"2,228.0",,"1,289.0",,114.6,,81.8,,"1,223.7",,"7,599.2",,
CA,City of Fairfield - Fairfield and Suisun Transit(FAST),9092,B,DR,PT,10,14.0,,0.0,,329.0,,295.7,,20.6,,17.7,,31.2,,149.9,,
CA,City of Fairfield - Fairfield and Suisun Transit(FAST),9092,B,MB,PT,36,50.0,,"1,600.0",,"1,616.6",,"1,542.3",,82.4,,77.3,,968.1,,"8,538.3",,
,,,,Total,,46,64.0,,"1,600.0",,"1,945.6",,"1,837.9",,103.0,,95.0,,999.2,,"8,688.1",,
CA,City of Gardena Transportation Department(GMBL),9042,B,DR,PT,8,10.0,,0.0,,99.4,,90.4,,17.2,,15.1,,32.2,,68.5,Q,
CA,City of Gardena Transportation Department(GMBL),9042,B,MB,DO,41,49.0,,"1,638.0",,"1,657.9",Q,"1,638.0",Q,115.6,Q,114.2,Q,"4,447.8",,"15,927.5",,
,,,,Total,,49,59.0,,"1,638.0",,"1,757.3",,"1,728.4",,132.8,,129.4,,"4,480.0",,"15,996.0",,
CA,City of Lodi - Transit Division(Grapeline),9175,B,DR,PT,16,24.0,,0.0,,258.5,,247.0,,30.6,,28.5,,65.2,,247.0,Q,
CA,City of Lodi - Transit Division(Grapeline),9175,B,MB,PT,9,9.0,,273.5,,277.7,Q,272.5,Q,22.3,Q,21.3,Q,242.0,,708.4,,
,,,,Total,,25,33.0,,273.5,,536.2,,519.5,,53.0,,49.8,,307.2,,955.4,,
CA,City of Lompoc - Lompoc Transit(COLT),9149,B,DR,PT,3,3.0,,0.0,,86.0,,80.9,,8.5,,8.2,,24.6,,100.7,,
CA,City of Lompoc - Lompoc Transit(COLT),9149,B,MB,PT,10,13.0,,417.4,,442.1,,417.4,,26.9,,25.9,,351.8,,"6,034.0",,
,,,,Total,,13,16.0,,417.4,,528.2,,498.3,,35.4,,34.1,,376.4,,"6,134.7",,
CA,City of Los Angeles Department of Transportation(LADOT),9147,B,DR,PT,158,182.0,,0.0,,"4,042.4",,"3,470.0",,320.0,,278.9,,"1,001.8",,"3,929.7",,
CA,City of Los Angeles Department of Transportation(LADOT),9147,B,MB,PT,259,315.0,,"8,035.3",,"9,174.0",,"7,642.8",,794.7,,696.8,,"29,890.4",,"73,696.2",,
,,,,Total,,417,497.0,,"8,035.3",,"13,216.4",,"11,112.7",,"1,114.7",,975.8,,"30,892.2",,"77,626.0",,
CA,City of Petaluma(Petaluma Transit),9213,B,DR,PT,6,8.0,,0.0,,84.2,,77.2,,9.1,,8.2,,21.1,,63.4,,
CA,City of Petaluma(Petaluma Transit),9213,B,MB,PT,6,10.0,,208.4,,211.9,,205.7,,16.3,,15.4,,159.7,,633.7,Q,
,,,,Total,,12,18.0,,208.4,,296.1,,282.9,,25.4,,23.6,,180.9,,697.1,,
CA,City of Porterville(C.O.L.T.),9198,B,DR,PT,3,12.0,,0.0,,107.2,,102.6,,7.4,,7.1,,22.7,,65.8,,
CA,City of Porterville(C.O.L.T.),9198,B,MB,PT,6,17.0,,325.6,,333.2,,325.6,,21.3,,21.0,,492.7,,"2,181.6",,
,,,,Total,,9,29.0,,325.6,,440.4,,428.2,,28.7,,28.1,,515.4,,"2,247.3",,
CA,City of Redondo Beach - Beach Cities Transit(BCT),9214,B,DR,PT,7,8.0,,0.0,,83.2,,70.0,,8.5,,7.3,,14.4,,44.8,,
CA,City of Redondo Beach - Beach Cities Transit(BCT),9214,B,MB,PT,11,11.0,,375.3,,404.0,,375.3,,32.6,,30.4,,351.3,,0.0,W,
,,,,Total,,18,19.0,,375.3,,487.2,,445.3,,41.1,,37.7,,365.7,,44.8,Q,
CA,City of Riverside Special Transportation(City of Riverside),9086,A,DR,DO,21,27.0,,0.0,,594.7,,487.9,,38.1,,32.7,,147.8,,576.3,,
CA,City of San Luis Obispo(SLO Transit),9156,B,MB,PT,12,17.0,,381.6,,400.5,,381.6,,35.5,,33.8,,"1,003.7",,"10,006.8",,
CA,City of Santa Rosa(Santa Rosa CityBus),9017,B,DR,PT,11,14.0,,0.0,,255.7,,240.4,,20.7,,20.2,,48.0,,221.0,,
CA,City of Santa Rosa(Santa Rosa CityBus),9017,B,MB,DO,30,33.0,,"1,025.3",,"1,070.5",,"1,025.1",,87.9,,84.6,,"2,832.2",,"9,239.0",,
,,,,Total,,41,47.0,,"1,025.3",,"1,326.1",,"1,265.5",,108.7,,104.7,,"2,880.2",,"9,460.0",,
CA,City of Turlock(BLAST and DART),9201,B,DR,PT,4,8.0,,0.0,,59.1,,54.9,,5.2,,5.0,,15.8,,92.2,,
CA,City of Turlock(BLAST and DART),9201,B,MB,PT,5,9.0,,179.0,,189.9,Q,179.1,Q,14.8,Q,13.9,Q,114.9,,423.1,,
,,,,Total,,9,17.0,,179.0,,249.0,,234.0,,20.1,,18.9,,130.7,,515.3,,
CA,City of Union City Transit Division(UCT),9161,B,DR,PT,4,5.0,,0.0,,89.5,,79.6,,9.7,,8.7,,16.8,,47.4,,
CA,City of Union City Transit Division(UCT),9161,B,MB,PT,11,15.0,,458.7,,477.3,,462.4,,41.2,,39.6,,438.0,,"1,401.6",,
,,,,Total,,15,20.0,,458.7,,566.8,,542.0,,50.9,,48.3,,454.8,,"1,449.1",,
CA,"City of Vallejo Transportation Program(Vallejo Transit, Baylink)",9028,B,DR,PT,10,12.0,,0.0,,204.2,,183.4,,16.8,,15.9,,33.6,,312.0,,
CA,"City of Vallejo Transportation Program(Vallejo Transit, Baylink)",9028,B,FB,PT,3,4.0,,213.1,,217.7,,215.3,,8.6,,8.0,,734.7,,"19,028.2",,
CA,"City of Vallejo Transportation Program(Vallejo Transit, Baylink)",9028,B,MB,PT,45,60.0,,"1,804.5",,"1,894.5",,"1,806.6",,96.1,,91.5,,"1,680.3",,"10,403.3",,
